GEOID,pop_total,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,tenure_total,tenure_owner,tenure_renter
245100203001,1585,797,72,30,0,22,0,0,19,15,27,66,102,146,15,14,132,137,334,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,84,27,139,7,0,0,797,463,334
245100203002,1033,566,0,13,0,0,0,78,0,47,25,15,73,16,38,18,118,125,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,16,14,31,111,139,0,0,0,566,192,374
245101504002,955,288,49,10,9,32,0,58,9,0,25,7,74,15,0,0,0,0,245,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,38,66,35,24,54,0,0,0,0,288,43,245
245101504001,491,217,21,32,18,18,41,0,10,0,9,11,9,48,0,0,0,0,90,0,0,0,0,0,0,0,22,0,9,18,0,0,12,11,8,0,0,0,0,0,0,0,0,217,127,90
245100102001,1050,407,9,0,0,12,13,0,11,74,0,35,50,55,88,36,24,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,81,7,0,0,0,407,291,116
245102803012,878,303,51,0,0,0,9,0,28,9,50,0,50,49,48,0,0,9,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,119,54,10,0,0,0,0,303,85,218
245102803013,1764,996,221,88,83,94,58,63,42,103,26,60,73,58,13,14,0,0,917,0,0,0,75,34,19,0,56,9,36,0,12,0,17,0,135,232,209,73,10,0,0,0,0,996,79,917
245102704014,637,277,0,25,0,13,48,0,0,0,0,0,61,34,61,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,277,0
245102603031,890,386,115,52,47,0,27,9,33,4,4,28,9,4,24,30,0,0,279,0,5,5,5,11,12,0,23,35,14,0,0,4,0,5,5,14,61,40,40,0,0,0,0,386,107,279
245102704013,1662,580,126,34,46,13,0,91,32,0,0,0,85,105,0,0,35,13,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,62,0,0,19,0,0,0,0,580,441,139
245102704012,1231,517,23,16,0,9,89,8,0,12,29,78,38,197,0,11,7,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,49,0,0,0,0,0,517,373,144
245102804011,802,378,0,34,40,14,0,0,69,0,0,18,21,75,27,8,65,7,98,0,0,0,0,11,0,0,12,0,0,0,0,40,0,0,0,21,0,0,0,6,0,0,0,378,280,98
245102804015,662,275,19,19,0,19,10,21,0,22,40,28,54,28,15,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,27,10,58,0,27,10,28,29,0,0,0,0,275,86,189
245102804012,582,212,7,0,0,0,8,10,0,10,0,10,43,18,25,54,8,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,212,192,20
245102703022,891,321,32,19,5,6,4,0,23,50,21,4,42,31,42,22,20,0,89,0,0,9,0,0,0,0,0,0,0,0,0,23,0,0,5,0,27,25,0,0,0,0,0,321,232,89
245102707023,681,354,31,22,0,20,30,10,33,6,30,35,35,43,33,17,4,5,105,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,5,14,45,15,6,0,0,0,0,354,249,105
245102707021,728,326,7,0,49,29,72,20,15,18,32,24,25,6,23,0,0,6,319,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,91,113,66,17,0,0,0,0,0,326,7,319
245102707022,422,203,4,19,12,32,9,26,5,0,0,26,22,29,5,6,5,3,63,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,29,15,9,0,0,0,0,0,0,203,140,63
245102709031,2247,494,85,19,18,12,9,23,32,95,36,87,41,17,5,7,8,0,205,0,0,0,0,0,0,0,0,41,0,0,12,0,0,44,0,63,12,33,0,0,0,0,0,494,289,205
245102709032,1587,371,8,0,0,49,10,0,0,38,0,12,59,45,42,61,12,35,145,0,0,0,0,0,0,0,0,0,8,0,0,10,0,7,13,0,71,0,0,0,0,0,0,371,226,145
245102709033,810,368,52,9,51,32,0,26,76,28,5,19,7,26,21,10,6,0,197,0,0,0,9,0,0,0,0,0,0,0,0,8,0,61,0,23,72,0,0,0,0,0,0,368,171,197
245102711011,910,538,80,95,22,19,25,17,9,8,5,30,65,76,23,31,14,19,357,0,0,0,101,6,25,18,0,37,0,0,0,0,0,0,0,5,24,74,30,27,0,0,0,538,181,357
245102711012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245102718013,1433,460,37,53,27,5,26,0,27,8,12,10,65,40,102,31,17,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,42,0,43,0,0,0,0,460,320,140
245102718011,521,252,65,12,30,23,19,19,0,0,0,0,17,6,7,25,29,0,121,0,0,0,0,0,0,0,0,0,0,20,65,0,0,0,0,3,17,9,0,0,0,0,0,252,131,121
245102718012,1265,548,184,53,72,63,0,12,16,19,10,7,20,84,0,0,0,8,410,0,0,0,67,20,53,0,53,11,35,0,22,0,0,0,28,13,101,0,7,0,0,0,0,548,138,410
245102602013,800,335,9,0,86,49,16,40,0,0,0,11,46,37,41,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,70,15,49,0,0,0,0,0,0,335,192,143
245102602011,1055,387,17,9,0,33,54,89,0,54,0,0,46,33,24,28,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,0,26,0,0,0,0,387,301,86
245102602012,1468,466,42,11,0,22,17,28,35,0,44,73,19,113,62,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,44,11,0,77,45,39,93,48,0,0,0,0,466,109,357
245102602014,1985,1108,297,177,40,33,0,100,80,76,66,146,16,45,9,23,0,0,1099,0,0,0,10,65,0,0,0,0,0,0,60,115,75,140,393,116,75,0,0,0,0,0,0,1108,9,1099
245102604011,567,228,60,17,0,8,9,36,16,23,0,26,0,23,10,0,0,0,82,0,0,0,0,0,0,0,9,0,13,4,14,0,0,0,19,14,0,0,0,0,0,0,0,228,146,82
245102604013,550,181,11,0,14,45,24,25,19,0,9,20,0,9,5,0,0,0,142,0,0,0,0,0,0,34,0,9,23,29,0,25,0,0,0,22,0,0,0,0,0,0,0,181,39,142
245102703011,791,269,31,0,0,0,9,9,8,14,15,50,21,55,31,0,16,10,129,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18,9,14,51,29,0,0,0,0,0,269,140,129
245102703012,819,248,31,0,8,20,0,0,0,0,0,11,63,26,46,0,43,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,25,0,0,0,0,0,0,248,213,35
245102703013,545,203,9,0,23,0,0,0,9,12,9,0,16,39,7,8,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,0
245102708022,1196,574,50,110,25,0,140,18,0,39,18,75,44,55,0,0,0,0,468,17,0,0,0,83,0,0,0,0,0,0,0,0,0,0,138,175,55,0,0,0,0,0,0,574,106,468
245102708023,865,432,61,0,41,0,18,0,41,0,66,29,59,74,20,0,0,23,301,0,0,0,0,0,0,0,0,0,102,0,0,0,0,18,181,0,0,0,0,0,0,0,0,432,131,301
245102708042,756,368,108,12,25,13,22,33,13,0,14,0,24,48,30,0,26,0,203,0,0,0,0,0,10,0,0,16,27,13,0,0,7,25,15,7,59,24,0,0,0,0,0,368,165,203
245102708043,527,260,19,0,5,23,0,13,11,0,36,8,9,47,17,29,33,10,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,32,0,0,0,0,0,0,0,260,183,77
245102708044,628,325,46,40,15,65,0,7,0,18,15,0,22,30,36,8,23,0,202,0,7,0,16,23,6,5,29,18,7,25,0,0,0,0,0,0,39,12,15,0,0,0,0,325,123,202
245102708052,1073,417,44,16,18,22,46,8,11,52,15,57,61,29,21,0,10,7,162,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,22,0,52,32,10,0,0,0,0,417,255,162
245102708051,1067,371,0,6,42,0,9,27,9,37,7,68,90,15,24,6,14,17,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,371,301,70
245102708055,1254,465,28,19,43,14,0,0,17,0,15,26,34,109,88,10,52,10,87,0,0,0,0,0,0,0,0,0,0,5,9,0,0,11,10,0,9,25,18,0,0,0,0,465,378,87
245102711022,687,261,0,0,0,0,5,0,0,0,13,5,21,30,0,17,40,130,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,261,255,6
245102609001,807,399,104,0,8,15,8,9,11,29,0,17,34,25,34,51,46,8,162,0,0,0,0,61,0,0,0,0,0,6,0,0,0,0,8,0,8,22,0,28,29,0,0,399,237,162
245102609003,1239,658,21,49,7,36,22,10,12,18,14,9,31,94,56,70,118,91,454,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,10,0,98,190,104,24,0,658,204,454
245102610003,479,200,59,0,0,11,0,5,0,0,8,14,0,43,26,0,4,30,145,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,89,43,0,0,0,0,0,200,55,145
245102610002,838,222,27,52,0,30,22,47,0,0,0,6,12,26,0,0,0,0,199,0,0,0,0,0,0,0,0,12,0,0,18,0,12,0,47,0,98,11,1,0,0,0,0,222,23,199
245102701012,969,318,22,11,24,30,30,0,8,17,5,37,33,14,32,10,27,18,123,0,0,0,0,0,0,0,0,0,0,0,0,19,0,36,0,0,8,0,55,0,0,0,0,318,195,123
245102701011,690,280,11,20,0,42,0,5,4,12,15,9,24,19,47,45,27,0,56,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,19,0,5,0,0,0,0,280,224,56
245102719003,1148,403,86,37,82,0,27,10,21,0,0,49,0,22,22,17,30,0,181,0,0,0,22,0,0,8,29,0,0,21,0,0,0,0,0,37,27,0,0,0,0,37,0,403,222,181
245102719001,770,331,0,0,18,9,39,10,0,0,0,28,28,49,59,11,42,38,95,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,9,0,10,26,0,0,0,0,0,331,236,95
245102719005,951,343,12,27,13,12,29,9,43,48,9,21,46,38,0,36,0,0,103,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,14,36,0,25,0,0,0,0,0,343,240,103
245102720034,1419,509,0,16,14,0,43,34,40,0,26,47,55,80,128,17,8,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,62,15,6,0,0,0,0,509,409,100
245102720032,1069,409,21,0,18,0,26,18,60,0,0,55,37,0,76,45,40,13,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,133,43,26,18,0,0,0,409,154,255
245102720033,1525,467,0,18,0,0,27,0,0,0,60,71,120,0,102,69,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,19,0,0,0,0,467,286,181
245100103002,1472,676,18,12,15,15,32,17,25,0,31,13,24,147,48,93,80,106,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,21,8,67,55,39,0,0,676,450,226
245100803013,768,249,11,6,11,17,20,0,21,19,15,43,8,40,27,11,0,0,146,0,0,0,0,6,0,0,0,0,16,0,0,4,12,0,19,0,10,45,23,0,0,0,0,249,103,146
245101101002,1069,709,88,26,56,41,106,31,34,0,51,43,82,49,25,44,20,13,591,0,0,0,0,0,0,0,0,0,0,15,19,13,54,0,51,31,154,132,122,0,0,0,0,709,118,591
245100901005,941,417,68,55,10,0,24,0,33,39,95,26,8,16,33,0,0,10,247,0,0,0,0,0,0,0,0,0,0,0,29,24,11,28,0,48,32,39,10,0,0,0,0,417,170,247
245100901001,1053,402,45,39,1,50,17,24,26,29,0,7,24,76,28,10,26,0,224,0,0,0,0,0,0,0,0,0,0,10,0,10,9,8,52,10,57,38,30,0,0,0,0,402,178,224
245100901003,606,282,0,8,17,16,9,9,0,35,7,20,43,44,18,37,12,7,47,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,16,8,0,0,0,0,282,235,47
245100901002,627,282,17,0,10,0,16,18,34,0,8,32,30,65,0,0,52,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,272,10
245102801011,1314,383,84,9,14,0,0,28,27,17,0,8,40,83,0,24,13,36,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,35,0,0,0,0,383,281,102
245102718022,504,180,37,4,0,21,12,31,0,3,12,0,43,8,0,9,0,0,125,0,0,0,0,0,0,0,0,24,9,5,0,0,0,4,4,0,47,32,0,0,0,0,0,180,55,125
245102718021,748,210,88,6,18,5,28,12,4,5,20,0,0,4,20,0,0,0,144,0,0,0,0,0,0,0,0,6,0,0,34,0,0,14,31,0,37,11,6,0,0,0,0,210,66,144
245102718023,392,151,27,0,13,24,5,26,34,0,0,4,8,5,5,0,0,0,90,0,0,0,0,0,0,0,0,5,9,0,4,0,0,0,25,19,15,13,0,0,0,0,0,151,61,90
245102801013,1324,407,35,61,30,0,13,21,52,48,0,70,37,18,10,0,12,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,59,0,0,0,0,0,407,268,139
245102804034,455,240,13,0,0,26,18,0,0,16,0,20,24,58,39,0,0,26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,18,0,0,0,0,0,0,240,188,52
245102804033,3345,1067,10,0,30,0,57,130,66,88,42,159,159,208,82,0,5,31,702,0,0,0,0,0,0,0,0,0,0,0,0,0,20,145,53,79,229,107,69,0,0,0,0,1067,365,702
245102804035,590,227,0,52,5,0,0,0,0,0,0,8,10,9,17,41,35,50,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,9,0,17,0,0,0,227,141,86
245102804032,1071,517,19,18,55,36,18,10,22,40,29,81,39,71,63,16,0,0,344,0,0,0,0,0,0,18,0,0,0,0,0,0,22,0,107,39,141,0,0,17,0,0,0,517,173,344
245102713001,1493,628,28,11,0,0,0,9,0,0,0,52,104,47,83,64,57,173,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,36,53,12,22,13,0,628,373,255
245102713002,551,281,0,0,11,12,43,12,0,0,20,11,53,21,19,16,27,36,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,23,8,42,0,9,0,0,281,121,160
245102501033,707,277,17,8,7,0,20,6,6,46,0,27,31,67,15,18,0,9,56,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0,10,10,0,0,0,0,277,221,56
245102501031,1371,661,195,211,67,29,4,0,36,7,15,13,17,5,42,20,0,0,488,0,8,47,74,141,37,35,26,0,6,56,22,0,9,8,0,0,0,12,7,0,0,0,0,661,173,488
245102801021,426,117,29,0,13,26,0,23,0,0,0,0,0,0,0,0,0,26,68,0,0,0,13,0,15,0,0,0,13,0,0,27,0,0,0,0,0,0,0,0,0,0,0,117,49,68
245102801022,825,290,51,0,11,12,0,13,0,25,51,12,78,37,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,12,39,0,0,0,0,0,0,0,290,225,65
245102801024,1548,707,58,143,12,14,0,12,58,12,13,64,186,14,50,36,0,35,344,0,0,38,0,0,0,0,0,0,0,0,16,0,0,14,79,41,150,0,6,0,0,0,0,707,363,344
245102008001,973,331,55,41,5,25,41,28,32,5,0,18,36,24,10,0,11,0,219,11,0,0,0,19,0,5,26,27,0,8,6,0,0,3,27,22,9,31,25,0,0,0,0,331,112,219
245102008002,718,315,66,9,20,0,22,33,7,20,28,23,44,32,0,7,4,0,98,0,0,4,7,0,0,0,0,0,13,0,0,0,14,18,12,18,0,0,0,0,0,0,0,315,217,98
245102008003,473,213,45,9,7,25,0,0,0,0,29,13,26,37,9,0,13,0,83,0,0,0,0,0,0,16,0,0,11,0,0,0,11,0,12,13,7,0,8,0,0,0,0,213,130,83
245102402001,2406,1284,21,23,21,39,29,0,8,42,44,69,68,162,98,161,140,359,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,23,193,153,46,44,10,1284,795,489
245102402002,827,348,8,0,0,0,0,0,5,9,0,6,16,71,42,50,37,104,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,17,20,15,0,348,264,84
245102502041,1953,579,170,91,54,33,36,41,51,0,24,26,10,22,8,13,0,0,535,0,55,82,86,85,31,37,8,30,0,16,28,19,58,0,0,0,0,0,0,0,0,0,0,579,44,535
245102502042,2130,898,392,120,106,19,42,41,18,10,62,49,0,29,0,0,0,10,861,133,55,95,113,56,51,29,20,52,0,53,60,20,0,43,0,9,45,27,0,0,0,0,0,898,37,861
245102502061,246,182,0,34,9,3,20,0,60,13,0,6,37,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,7,7,0,0,0,0,0,0,182,128,54
245102502062,761,307,52,0,0,7,2,25,24,21,4,24,16,39,25,68,0,0,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,307,284,23
245102502063,820,333,19,21,6,0,33,27,83,4,7,16,9,30,8,70,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,54,0,0,0,0,0,0,333,263,70
245102505004,1605,575,49,85,64,72,16,79,0,0,14,89,20,66,0,21,0,0,446,0,0,0,0,0,0,0,0,0,50,0,0,0,42,0,133,134,76,0,11,0,0,0,0,575,129,446
245102505003,1938,616,68,0,33,29,38,9,57,29,61,29,133,76,54,0,0,0,368,0,0,0,0,0,0,0,0,0,38,0,0,0,13,18,39,33,46,99,44,0,0,0,0,616,248,368
245102505002,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0,24
245102601015,1127,393,41,21,5,46,7,50,13,12,11,30,33,38,6,41,39,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,0,393,311,82
245102601014,717,228,26,0,23,0,0,9,0,11,16,15,42,13,23,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,228,203,25
245102601011,697,286,32,0,23,0,24,51,8,24,19,17,58,15,15,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,28,0,0,0,0,0,286,206,80
245102603015,801,250,61,39,21,0,0,13,10,21,8,0,36,34,0,7,0,0,84,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,21,23,0,0,21,0,0,0,250,166,84
245102603011,739,318,29,0,10,0,31,20,27,26,66,15,13,34,29,18,0,0,114,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,30,19,27,0,0,0,318,204,114
245102603013,763,251,40,17,6,42,6,12,9,13,21,32,6,30,17,0,0,0,98,0,0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,29,20,13,11,0,0,0,0,251,153,98
245102603012,1027,406,53,66,10,23,16,5,19,18,12,46,25,42,28,43,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,19,42,0,0,0,0,406,291,115
245102706002,939,357,0,9,14,51,31,25,11,16,0,70,12,11,14,11,68,14,92,0,0,0,0,9,0,0,0,0,0,0,15,0,0,11,42,0,0,0,0,15,0,0,0,357,265,92
245102706003,590,341,9,50,24,11,15,32,53,0,0,54,23,43,0,0,17,10,132,9,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,69,0,0,0,0,341,209,132
245101201004,1402,895,100,77,24,33,107,14,33,44,34,49,78,106,116,0,15,65,674,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,56,161,186,138,100,16,0,0,0,895,221,674
245102715011,690,287,34,8,6,0,15,0,0,13,0,13,35,14,20,39,27,63,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,287,268,19
245102003001,435,172,54,21,18,36,5,12,0,0,4,8,10,3,1,0,0,0,154,0,0,0,0,0,0,0,0,0,10,4,4,8,12,11,16,13,45,17,14,0,0,0,0,172,18,154
245102715015,1145,564,27,0,0,22,13,0,28,28,52,42,45,124,67,57,26,33,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,186,82,61,9,0,0,0,564,159,405
245102715013,734,290,21,0,0,0,0,22,13,19,0,0,7,23,17,17,63,88,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,15,9,0,0,0,0,290,209,81
245102502032,824,343,50,33,32,21,19,27,16,14,6,19,54,19,33,0,0,0,248,0,0,0,0,0,0,5,0,0,0,6,0,0,22,7,39,61,45,36,27,0,0,0,0,343,95,248
245101102001,2383,1489,194,86,20,69,81,70,43,0,23,204,202,221,123,28,51,74,1307,0,14,0,89,0,0,15,0,13,0,0,0,0,13,89,78,115,271,123,252,96,101,0,0,1489,182,1307
245101510005,1472,414,18,25,37,9,23,0,10,21,0,55,73,54,47,21,21,0,247,25,0,0,0,8,26,0,0,0,26,0,0,0,0,0,56,24,73,9,0,0,0,0,0,414,167,247
245101510002,768,328,40,18,35,31,19,41,10,10,18,36,43,10,0,17,0,0,136,0,9,22,0,0,0,0,0,0,0,0,0,21,0,0,30,10,0,19,0,0,0,0,0,328,192,136
245101510007,482,178,42,8,20,0,8,27,0,22,9,33,9,0,0,0,0,0,104,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0,0,0,0,178,74,104
245101207002,770,308,13,0,24,25,22,16,26,4,37,49,11,26,51,4,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,72,33,34,9,4,0,0,0,308,129,179
245101207003,960,381,15,8,10,19,54,8,8,0,59,10,37,37,41,60,15,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,9,65,42,0,0,0,0,0,381,204,177
245101207001,611,307,11,0,10,0,26,19,5,13,37,7,44,48,69,18,0,0,160,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,17,8,42,44,27,0,0,0,0,307,147,160
245101304003,538,246,85,39,20,7,12,23,0,6,0,16,0,24,0,14,0,0,141,0,0,0,12,0,0,0,0,0,0,0,6,26,13,0,10,14,41,19,0,0,0,0,0,246,105,141
245101304002,1132,352,27,30,5,54,0,26,18,25,30,26,44,32,0,28,7,0,241,0,0,0,0,0,0,0,0,0,16,7,0,0,0,7,20,34,47,94,16,0,0,0,0,352,111,241
245101304001,682,245,18,57,10,0,0,7,6,52,15,29,17,14,0,6,14,0,149,0,0,0,0,6,0,0,0,0,7,0,0,0,28,12,0,17,23,34,11,11,0,0,0,245,96,149
245101307002,1005,427,14,27,12,0,13,0,44,0,15,0,75,35,36,53,88,15,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,19,31,10,0,0,0,427,277,150
245100105002,946,430,16,23,19,7,3,8,4,18,40,15,35,98,29,15,67,33,180,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,18,26,8,18,31,38,0,0,430,250,180
245102706004,1058,339,11,13,11,10,0,0,0,22,0,37,29,115,41,28,22,0,77,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,0,38,0,11,0,0,0,0,339,262,77
245100101001,1045,512,8,0,0,0,8,9,23,9,6,30,43,111,113,38,49,65,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,18,22,0,0,512,387,125
245100105001,797,337,11,5,11,5,5,4,21,0,25,13,22,35,75,11,62,32,126,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,24,19,7,25,18,0,7,0,337,211,126
