GEOID,pop_total,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other
245100102001,810,644,271,174,47,9,411,10,0,0,0,10,11,10,32,0,16,68,60,79,62,40,13,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,11,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,20,21,163,7,17,0,0,13,0,0,0,411,273,138,454,411,43,9,0,24,0,0,0,10
245100808001,233,137,17,5,5,7,82,25,0,7,0,18,7,8,0,0,0,5,0,12,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,11,30,5,0,0,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,82,14,68,115,82,33,0,11,0,0,0,0,22
245100801021,764,540,17,8,0,0,258,31,12,70,2,19,19,0,34,5,19,19,22,6,0,0,0,130,0,0,0,0,0,0,0,16,0,0,5,0,0,0,22,0,0,12,40,31,0,0,0,0,128,5,0,0,0,0,0,0,6,8,15,5,17,48,0,0,11,0,0,6,0,0,0,0,0,0,7,258,128,130,288,258,30,0,0,0,0,0,0,30
245100802001,274,179,0,0,0,0,81,16,0,0,0,0,0,4,6,0,14,5,23,13,0,0,0,36,0,0,0,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,19,8,0,13,0,5,0,0,0,0,0,0,0,0,0,0,81,45,36,132,81,51,13,0,0,0,0,0,38
245100806001,725,527,31,30,0,0,259,82,31,12,8,0,0,11,0,5,15,33,51,0,0,11,0,162,0,0,0,26,0,0,0,0,0,0,0,6,0,0,0,0,33,33,22,0,27,0,0,0,97,0,0,8,0,0,0,13,16,0,11,0,0,11,0,15,0,0,0,9,14,0,0,0,0,0,0,259,97,162,390,259,131,0,0,0,10,0,0,121
245100904002,727,435,31,33,0,0,307,85,20,73,0,9,39,35,8,0,12,5,21,0,0,0,0,284,0,0,0,5,16,0,0,0,20,0,0,0,0,11,95,36,50,34,0,0,0,0,0,0,23,0,0,0,0,0,6,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,307,23,284,394,307,87,13,0,39,0,0,0,35
245100907003,757,649,17,35,0,0,322,27,25,16,78,26,19,0,0,11,26,0,0,94,0,0,0,130,0,0,0,0,8,0,0,0,0,0,0,0,0,16,23,0,12,0,27,0,0,0,0,0,192,0,0,0,54,0,0,0,16,101,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,322,192,130,473,322,151,33,0,25,23,0,0,70
245101203002,837,578,154,104,8,38,334,24,0,8,12,25,0,0,37,37,9,45,35,40,27,23,12,197,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,27,23,7,90,3,6,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,21,44,17,0,47,0,0,8,0,0,0,0,0,334,137,197,391,334,57,0,0,34,0,0,0,23
245102707031,1057,801,170,27,0,0,442,0,11,15,7,40,73,26,15,16,54,42,34,69,17,23,0,175,0,0,0,0,0,0,0,9,0,0,13,0,12,18,0,50,12,12,32,17,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,8,19,0,20,52,51,39,66,0,0,12,0,0,0,0,0,442,267,175,544,442,102,69,0,33,0,0,0,0
245102707032,900,752,300,60,0,21,347,8,19,0,11,0,8,0,0,0,25,88,25,65,14,32,52,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,40,13,0,0,0,0,270,0,0,8,0,8,0,0,0,0,0,0,0,0,0,35,38,52,99,11,0,0,0,11,0,8,0,347,270,77,347,347,0,0,0,0,0,0,0,0
245100703002,323,209,11,16,0,16,97,7,36,11,0,8,0,13,1,0,0,4,8,0,0,0,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,4,15,0,0,0,0,38,0,0,0,0,4,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,97,38,59,211,97,114,18,0,6,0,0,0,90
245100704001,330,248,82,60,19,8,172,34,13,16,9,11,0,6,6,5,32,14,7,15,0,4,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,3,66,27,13,0,0,0,36,10,0,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,172,36,136,240,172,68,62,6,0,0,0,0,0
245100804002,563,419,70,0,0,0,212,54,45,39,0,0,8,30,7,0,0,10,7,0,0,12,0,156,0,0,0,0,0,0,0,0,14,12,0,15,0,4,17,0,17,22,51,4,0,0,0,0,56,0,0,0,17,10,7,0,0,4,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,212,56,156,402,212,190,0,0,10,0,0,0,180
