OBJECTID,pop_total,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,tenure_total,tenure_owner,tenure_renter,pop_in_nsa
92,8550.254376834373,3034.138932870288,696.7685735689678,280.370256716366,395.8747795618173,144.33672752300308,168.9332465508019,208.30066188697603,136.28843246598655,114.91092763410124,143.40826881134706,177.93134576218762,137.1453462580603,169.53019210140513,128.19939798365826,61.70638899924407,21.922783251282482,48.511603795083445,2530.7062550751316,126.7949351315547,113.17537541876298,169.9895752886695,142.29700660455728,194.15841377216645,78.7571396698412,115.21751057001877,41.78083411096528,55.88634227536359,32.77223485309818,64.97557899036043,81.68178561555189,48.70131734799958,0.0,72.67076711840201,161.46670123653232,228.92058486071193,553.4728681470159,157.727858101581,55.42732913406214,5.911576221215894,8.996338176919938,0.0,0.0,3034.138932870288,503.4326777951565,2530.7062550751316,7623.646272667371
93,7510.441062422412,2890.037317352204,190.82168582658807,65.94478031449269,157.31920408466996,101.75790882178376,169.03950649119676,146.72934191264164,206.72813879679782,155.06307223045872,93.79405149967154,199.74386243821536,203.9866978618702,193.98087895650485,395.3851523882306,125.72467406805251,254.81293578226592,229.20542587876355,1564.9805596899257,0.0,0.0,0.0,42.475345832652636,1.1096040814828525,0.0,57.211690305205586,0.0,0.0,0.0,0.0,0.0,0.0,0.027513017469111417,63.95706471451827,15.000324973112324,170.50657940136279,517.5419104356783,539.4260873331026,55.13506544253322,45.84013184428866,0.0,0.0,0.0,2890.037317352204,1325.0567576622784,1564.9805596899257,7581.965117668705
94,1552.6720504868501,549.5106574175629,6.0757547576515165,13.00572582536609,58.03339687183917,9.071995833397622,31.958048892706575,35.966608129888726,0.09063586856322732,36.65192430314493,5.6735582418802375,91.95735281181379,67.7873973225579,76.90349903082523,35.605051184650634,23.59882397805428,45.12890125544564,12.001983109777369,34.66396972377477,0.0,0.0,0.0,0.0,0.0,0.0,0.02102820243017951,0.02102820243017951,0.0,0.030027892622925795,0.0,0.014719741701125656,0.001307700944452673,0.0,0.031182811569961402,0.09594607787442247,0.07934354175750234,19.317211625848618,3.3658663052042064,11.686307621391192,0.0,0.0,0.0,0.0,549.5106574175629,514.8466876937882,34.66396972377477,1247.596296644983
95,722.0621821923716,329.28389981097985,117.09592468465166,34.01332889829005,38.789268554400515,0.00017599281450218237,22.20291534973933,0.012149323258821171,22.931398113357258,8.799640725109118e-05,6.325947431752796,17.45537608916707,13.453862465961253,18.226109835455535,10.312468889524256,18.18617490401315,10.278711282186407,0.0,246.85383448750704,0.0,3.1626803945188944,3.95352648596312,18.185588261298143,7.906847646975987,8.69737108492696,5.535629318752077,6.3260060960242965,17.39474216985392,22.140024043469527,0.000527978443506547,0.0,3.16394167635616,3.1626803945188944,0.0,3.162797723061896,26.883809978161864,48.29909401485072,37.99435705262577,27.720943130471394,3.1626803945188944,0.0005866427150072745,0.0,0.0,329.28389981097985,82.43006532347282,246.85383448750704,1032.58679741668
96,43.35878517430201,15.402369279594295,1.02691243309428,0.3604816137958847,0.8199517515052243,0.7812721927027622,0.3637928001144525,0.9828558043587736,0.52250579523452,0.6119836490890451,0.44578475620970426,0.9967638706650214,1.4783614082168415,1.2480780708639472,1.3837072642085195,1.5537272806230087,1.4370460621588013,1.3891445267535079,4.45949146914684,1.756408916995714e-05,0.0,0.0,0.0,0.0,0.0,0.1766231270934618,0.09015694538689638,0.0,0.256906366681399,0.09754337076243101,0.0,0.09958109065186022,0.05636146028763454,0.1543165769835204,0.24992693218468112,0.3837705103977699,1.1370804077430527,0.34465925463915564,1.2045037823268692,0.0,0.019518689027629404,0.0,0.0,15.402369279594295,10.942877810447454,4.45949146914684,40.99430647483644
97,944.928164452057,568.9744699955824,127.91437594260925,24.1444106891798,43.974115352909415,41.00950737251615,4.22991775864039,25.09490847230161,19.999353401792604,0.045367497136168736,21.045594727720314,18.105756240419073,31.06205596722318,129.10004333841687,32.02991724640147,37.03969261741523,9.06463687420184,5.114816496699103,309.3825298637988,0.0,0.004565869597961849,8.992805768076527,65.94169596916699,20.98280904649959,28.976282385337353,0.002874948364411961,0.0008214138184034175,23.979822839840168,9.990660202993759,0.0,0.0016558031524496375,9.989838789175355,0.002175986625963111,5.993903273505213,10.161256444962765,43.19718099486184,32.07931515267451,0.052407029935516554,12.033923494056586,0.021737906352647416,0.0037255570930116843,0.0016558031524496375,0.0,568.9744699955824,259.5919401317836,309.3825298637988,1110.0201800676552
98,5717.1466211501365,1913.085322287816,211.2380030530254,98.00073640334419,262.34156495901243,200.9213124806226,101.95398808626571,110.89730952188471,81.3193557068868,69.12707052087242,47.78192016467722,251.66852501851034,189.0403628874144,35.02507730176387,173.81645652510957,36.964974989957966,42.94213396459106,0.04653070387728371,899.1627113892416,0.0,0.0,0.015881955011862424,10.102982352257326,8.0,3.0,0.0,0.0,0.0,3.9741219392365474,36.0,0.0,0.0,92.96118290885482,61.83114215175222,0.02093416221349157,138.064129151752,226.1096159427219,184.2923860323388,71.82915188424772,0.0,0.0,0.0,0.0,1913.085322287816,1013.9226108985744,899.1627113892416,5621.4276868806355
99,2287.955518755792,710.4854611336318,91.47697099479062,43.42484921447997,29.79883838686017,73.08146233022579,37.697176131887225,48.489982249290385,63.345887355191174,19.267542768656703,6.595714487153452,47.159403215079635,60.81373922212627,80.32864916350975,70.71260907999408,15.41254066527926,5.567391757432218,17.312704111675128,371.07814670711707,0.0,0.12562993575890843,0.2440219133429319,4.13622954339585,0.0,2.7573685509303,4.770386799074965,29.536718491501876,0.004467926174563473,0.20294623201701129,0.007021026845742601,6.461212331089616,3.7022984320655574,0.055810213804678106,28.142669590690517,33.731499769092146,12.826425604322779,75.30560449610935,55.228238196931414,45.84633380591862,0.07669260133635003,0.0,0.0,0.0,710.4854611336318,339.4073144265147,371.07814670711707,1856.7446498306201
100,5128.801858335707,1934.8861943385737,169.9024248953777,44.863269785358014,89.28634597962902,143.81803547694628,98.55625150810926,72.41701845305558,119.66129575939105,54.035416037947044,67.22195621432729,145.47818456466146,210.68335407560866,151.79494412237216,185.18047722421838,57.5241948716706,138.62219537790477,185.84082999199666,760.1728615400765,7.990138901359864,0.0,0.0,6.529545606189344,49.60966269081376,0.0,8.788309694794417,0.0,7.996363236584064,0.0,0.0,0.0017058584959543971,7.992755862207232,0.0023763701350974263,0.1095279983955331,13.020969261565131,47.75760822370315,245.07805649506065,212.17843308133578,136.60527207827596,10.253794428806911,0.0,0.0,0.0,1934.8861943385737,1174.7133327984975,760.1728615400765,5250.106535149797
101,851.4128123767292,643.8037837157672,18.01461827635842,27.95209791191292,10.984923742363222,5.014906740506235,46.94226239509782,16.003161485117065,15.967409490338493,33.93009108114648,35.99449390365463,78.88883845024311,48.959131571554806,103.89606222732695,29.999662449247726,51.92743550784725,38.07146518439443,81.25722329865769,100.0696082193797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.995747153299839,0.0,12.975698445641775,0.008800213025066608,17.048403915786285,39.05656416703505,18.989264826718085,3.991494306599678,0.0,0.0,0.0,643.8037837157672,543.7341754963876,100.0696082193797,884.2042426889896
